params,mean_test_score,std_test_score,mean_fit_time,std_fit_time
"{'output_activation': 'sigmoid', 'optimizer_learning_rate': 0.001, 'optimizer': 'adam', 'hidden_layer_sizes': [96, 8], 'hidden_activation': 'leaky_relu'}",0.8866151213645935,0.005495657047360461,20.534267520904542,2.4407568428453352
"{'output_activation': 'softmax', 'optimizer_learning_rate': 0.001, 'optimizer': 'rmsprop', 'hidden_layer_sizes': [64, 8], 'hidden_activation': 'relu'}",0.8831406116485596,0.015305347248213502,18.37725434303284,3.0186445139970997
"{'output_activation': 'sigmoid', 'optimizer_learning_rate': 0.01, 'optimizer': 'rmsprop', 'hidden_layer_sizes': [64, 8], 'hidden_activation': 'relu'}",0.876628303527832,0.0060604310648224875,21.71395835876465,0.31338861731277895
"{'output_activation': 'softmax', 'optimizer_learning_rate': 0.0001, 'optimizer': 'adam', 'hidden_layer_sizes': [64, 8], 'hidden_activation': 'leaky_relu'}",0.8744619488716125,0.01016393939143795,19.224388694763185,2.801730233214325
"{'output_activation': 'sigmoid', 'optimizer_learning_rate': 0.0001, 'optimizer': 'rmsprop', 'hidden_layer_sizes': [96, 8], 'hidden_activation': 'leaky_relu'}",0.8735989809036255,0.021084810207906944,16.575447368621827,3.8074499790480445
"{'output_activation': 'sigmoid', 'optimizer_learning_rate': 0.0001, 'optimizer': 'adam', 'hidden_layer_sizes': [64, 8], 'hidden_activation': 'relu'}",0.8532057046890259,0.036664623468668354,18.230195903778075,2.736577896272419
"{'output_activation': 'sigmoid', 'optimizer_learning_rate': 0.01, 'optimizer': 'sgd', 'hidden_layer_sizes': [96], 'hidden_activation': 'leaky_relu'}",0.7940799951553345,0.012438114106951703,18.148159313201905,3.6029559883722073
"{'output_activation': 'softmax', 'optimizer_learning_rate': 0.001, 'optimizer': 'sgd', 'hidden_layer_sizes': [96, 32], 'hidden_activation': 'leaky_relu'}",0.7914873123168945,0.016982520854556826,16.94546208381653,3.4740130673067715
"{'output_activation': 'sigmoid', 'optimizer_learning_rate': 0.001, 'optimizer': 'sgd', 'hidden_layer_sizes': [96], 'hidden_activation': 'leaky_relu'}",0.7819249272346497,0.012254269925723928,18.757561922073364,3.129931795172335
"{'output_activation': 'sigmoid', 'optimizer_learning_rate': 0.01, 'optimizer': 'sgd', 'hidden_layer_sizes': [96, 32], 'hidden_activation': 'relu'}",0.7749797224998474,0.029785357091001784,22.461122941970824,3.901987530699332
"{'output_activation': 'sigmoid', 'optimizer_learning_rate': 0.0001, 'optimizer': 'sgd', 'hidden_layer_sizes': [64], 'hidden_activation': 'leaky_relu'}",0.7658492803573609,0.012816858239503041,15.467253923416138,5.1055851747367855
"{'output_activation': 'softmax', 'optimizer_learning_rate': 0.0001, 'optimizer': 'sgd', 'hidden_layer_sizes': [64], 'hidden_activation': 'leaky_relu'}",0.7606347322463989,0.013967782037741834,19.668507194519044,3.2861390877008514
